!CSV A.01.01
!Keysight Technologies,N5232B,MY57181148,A.12.85.08
!Date: Tuesday, September 05, 2023 17:55:33
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
300000,0.99986297,-0.21881908,4.32446e-006,132.3663,1.8740055e-005,-170.56415,0.99263984,-0.20108014
316572.19073024,0.99992758,-0.23133968,2.3630384e-005,37.013489,4.0195519e-005,26.698038,0.99272913,-0.21797721
333144.38146049,0.99985754,-0.23432261,1.2182567e-005,-97.824791,1.0839406e-005,-42.178692,0.99295598,-0.22635634
349716.57219073,0.99981868,-0.2450484,4.3655878e-006,173.93265,4.0053117e-005,-4.98908,0.99273032,-0.23728864
366288.76292097,1.0000273,-0.27587444,1.395269e-005,-51.852467,3.621388e-006,-158.35748,0.9927876,-0.23499279
382860.95365122,1.0000986,-0.27349344,2.724902e-005,-73.836388,2.5365736e-005,98.700546,0.9926635,-0.25299242
399433.14438146,0.99963248,-0.28190264,1.2817142e-005,-90.966743,1.698262e-005,-89.559311,0.99278188,-0.28784707
416005.3351117,0.99986929,-0.29918188,1.2724447e-006,82.373299,5.9986618e-005,51.713314,0.99259019,-0.28604421
432577.52584195,0.99981207,-0.27913359,2.051708e-005,5.8754625,2.5423667e-005,-174.85344,0.99280596,-0.30836931
449149.71657219,0.99979573,-0.30961353,4.7050748e-005,41.725124,1.8356986e-005,48.437317,0.99259627,-0.30966929
465721.90730243,0.9998427,-0.32340696,1.6644108e-005,28.67194,9.231333e-006,-63.639072,0.99278456,-0.32478288
482294.09803268,0.99996114,-0.33959532,2.4534142e-005,-58.485592,2.8505778e-005,159.51234,0.99256188,-0.34889883
498866.28876292,0.99979216,-0.34188992,3.7440794e-005,-151.11333,2.4942789e-005,-84.970901,0.9925409,-0.36473265
515438.47949316,0.99970633,-0.34873742,2.9776429e-005,69.920326,2.1245369e-005,-142.69925,0.99247611,-0.36448887
532010.67022341,0.99974477,-0.3649677,1.7957722e-005,-62.157291,2.7330463e-005,-89.696991,0.99248844,-0.38720253
548582.86095365,0.99985558,-0.36678174,3.1752006e-005,-94.707619,5.4624328e-005,-62.260254,0.99263704,-0.37279621
565155.05168389,0.99963963,-0.38842154,2.0138516e-005,-105.70933,1.3020007e-005,-111.73885,0.9924382,-0.40054932
581727.24241414,0.99976462,-0.40554753,2.1461203e-005,-106.90679,4.2451906e-005,-128.0484,0.99248111,-0.4231098
598299.43314438,0.99985194,-0.39317319,2.4641184e-005,-85.958931,3.3893652e-005,-132.84872,0.99250823,-0.4344649
614871.62387462,0.99990827,-0.41599354,1.7252602e-005,38.113186,3.2024764e-005,101.83427,0.99233663,-0.43696636
631443.81460487,0.99998069,-0.4326939,3.5949699e-005,-144.68785,3.4253273e-005,-153.9838,0.99241179,-0.46088442
648016.00533511,0.9999876,-0.42800704,2.0493349e-005,152.95558,2.6796723e-005,125.14471,0.99225718,-0.44566098
664588.19606536,0.99966896,-0.44526997,3.5839577e-005,131.27991,5.1980063e-005,143.04254,0.99237847,-0.47836223
681160.3867956,0.99980825,-0.47270134,4.0544972e-005,121.89456,2.0010511e-005,104.63784,0.99241573,-0.48113418
697732.57752584,0.99976575,-0.47052881,1.0765796e-005,114.32214,2.7030312e-005,-175.66638,0.99234259,-0.50067604
714304.76825609,1.0000123,-0.47812268,4.7277936e-005,135.8811,2.3031034e-005,-98.011391,0.99242961,-0.50447834
730876.95898633,0.99980551,-0.48784146,1.4664591e-005,-145.51726,1.0354976e-005,86.34819,0.99227422,-0.50775272
747449.14971657,1.0000154,-0.5069105,2.7646785e-005,158.45058,4.3905733e-005,-118.60135,0.99228936,-0.52337486
764021.34044682,0.99971068,-0.51148844,4.6605157e-005,26.419758,2.9332845e-005,73.155716,0.99224353,-0.543082
780593.53117706,0.9998638,-0.524333,3.8096143e-005,177.83945,5.731983e-005,-86.505325,0.9923588,-0.54670113
797165.7219073,0.99988592,-0.52620053,2.8908446e-006,-35.043888,4.261448e-005,-65.270805,0.99217373,-0.55963957
813737.91263755,0.99985051,-0.55441308,3.893422e-005,141.94421,1.5436797e-005,29.13295,0.9922995,-0.56459939
830310.10336779,0.99981099,-0.56482983,1.2122175e-005,-0.66362041,2.2403774e-005,-80.514687,0.99193853,-0.57269955
846882.29409803,0.99986047,-0.55547261,1.5828506e-005,97.026093,3.3501172e-005,80.503258,0.99231601,-0.60678411
863454.48482828,0.99975389,-0.57683897,3.0917461e-005,-156.60495,2.0842523e-005,-122.31991,0.99217033,-0.60380876
880026.67555852,0.99978769,-0.59742427,7.8774228e-006,148.34143,4.4664856e-005,53.033791,0.99189913,-0.61883599
896598.86628876,0.9997493,-0.5986852,3.2232962e-005,71.303978,1.246238e-005,-137.98927,0.99194598,-0.63715965
913171.05701901,0.99968803,-0.59379721,8.0771333e-006,-146.69374,1.7106055e-005,87.627998,0.99212575,-0.65106547
929743.24774925,1.0000362,-0.6145249,2.3898598e-005,72.442123,2.1736161e-005,59.988693,0.99212104,-0.65616238
946315.43847949,0.99992275,-0.63150001,1.5268923e-005,-7.3872576,3.2727668e-005,-93.841866,0.99208707,-0.67330694
962887.62920974,0.99988866,-0.63592911,2.8856228e-005,-111.70751,1.380682e-005,-129.29507,0.99211633,-0.68803287
979459.81993998,0.99988186,-0.65385818,3.8153194e-005,-21.233265,3.1305077e-005,-167.1019,0.99187493,-0.69643128
