!CSV A.01.01
!Keysight Technologies,N5232B,MY57181148,A.12.85.08
!Date: Tuesday, September 05, 2023 18:14:29
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
11790365.358299,0.9783355,-16.191832,0.011161155,101.20617,0.011310732,100.28205,0.97618288,29.692526
11791463.283483,0.97828174,-16.182976,0.011181324,101.5905,0.011257583,100.81332,0.97598433,29.684566
11792561.208668,0.97817647,-16.186014,0.01118503,100.33232,0.01122127,99.962364,0.97570795,29.64698
11793659.133853,0.97813445,-16.181904,0.011168077,99.299576,0.011228424,99.971245,0.97578192,29.651508
11794757.059037,0.97789115,-16.202326,0.011171938,99.532768,0.011246326,100.04731,0.97591454,29.629358
11795854.984222,0.9782325,-16.244158,0.011264249,100.69615,0.011231217,100.18272,0.9755922,29.625614
11796952.909407,0.97790307,-16.230312,0.011156902,99.665306,0.011223532,100.07758,0.97541481,29.595835
11798050.834592,0.9778555,-16.254063,0.011227581,99.207458,0.01126408,100.00327,0.97549868,29.559464
11799148.759776,0.97799402,-16.260826,0.011206721,98.756088,0.011294431,100.21796,0.97533876,29.56513
11800246.684961,0.97743982,-16.260012,0.011332947,99.480713,0.011302935,99.740669,0.9753564,29.547258
11801344.610146,0.97780287,-16.259867,0.011218781,100.65118,0.011299716,99.997787,0.97532505,29.532396
11802442.53533,0.97808081,-16.268204,0.011289821,100.26543,0.01118872,99.925926,0.9754824,29.502768
11803540.460515,0.97790104,-16.28783,0.011322642,100.07307,0.011201911,99.649391,0.97544801,29.487129
11804638.3857,0.9781931,-16.308954,0.011314957,99.713173,0.011289262,99.747276,0.97539306,29.485962
11805736.310884,0.97810298,-16.291748,0.011337964,100.75513,0.011248971,99.799973,0.97534263,29.445765
11806834.236069,0.97807395,-16.298016,0.011399648,98.630013,0.011310472,99.772873,0.9754222,29.433523
11807932.161254,0.97822523,-16.315733,0.011230021,99.693497,0.011282964,99.818916,0.97568572,29.440432
11809030.086438,0.97811693,-16.354305,0.011240978,100.77121,0.011317371,99.512604,0.97564441,29.432734
11810128.011623,0.97792882,-16.349308,0.011283569,99.538765,0.011332905,98.986603,0.97525209,29.408678
11811225.936808,0.97808129,-16.342709,0.011404631,98.444092,0.011339723,99.254135,0.97550279,29.373352
11812323.861992,0.97788721,-16.346294,0.011271788,100.3469,0.011320625,99.301643,0.9756304,29.356594
11813421.787177,0.97783011,-16.358101,0.011175395,99.105133,0.01135795,99.268806,0.97582239,29.351078
11814519.712362,0.97786939,-16.34156,0.011349387,99.341797,0.011270357,99.581909,0.97577828,29.333992
11815617.637546,0.97816586,-16.348438,0.011075335,98.891083,0.011321174,99.278786,0.97528893,29.314373
11816715.562731,0.97806346,-16.360781,0.011085442,99.537895,0.011320702,99.191338,0.97552878,29.289156
11817813.487916,0.97807044,-16.372625,0.011178927,100.53096,0.01121766,98.951378,0.97564834,29.286222
11818911.413101,0.97812134,-16.384298,0.011306563,99.813354,0.011303704,98.654678,0.97562253,29.270864
11820009.338285,0.97824222,-16.404541,0.011289155,100.26643,0.011312854,98.56884,0.97576416,29.23933
11821107.26347,0.97828066,-16.425709,0.011246431,100.92474,0.011292132,98.708542,0.9758116,29.219973
11822205.188655,0.9780575,-16.42951,0.011204567,99.196281,0.011308489,99.016045,0.97581458,29.196327
11823303.113839,0.97799855,-16.436207,0.011101574,98.872986,0.011316991,99.189407,0.97579992,29.198328
11824401.039024,0.97781569,-16.448128,0.011165746,100.21008,0.011358779,98.775284,0.97614771,29.174637
11825498.964209,0.97796756,-16.444571,0.011350141,98.690193,0.011312276,98.802315,0.97583348,29.169132
11826596.889393,0.97751915,-16.454885,0.011509414,99.349014,0.011317077,98.464661,0.97614878,29.148502
11827694.814578,0.97806937,-16.451149,0.011596978,97.923576,0.01130042,98.838104,0.97586858,29.114891
11828792.739763,0.97810274,-16.462746,0.011408761,98.431664,0.011306643,98.638672,0.97584647,29.111362
11829890.664947,0.97775966,-16.471308,0.011177232,98.00087,0.011216986,98.250145,0.97584301,29.094492
11830988.590132,0.97800171,-16.490929,0.011317701,98.160446,0.011250151,98.779266,0.97556168,29.0721
11832086.515317,0.97798336,-16.489855,0.011261216,98.187439,0.011275493,98.683548,0.97588283,29.064497
11833184.440501,0.97795188,-16.490572,0.011161574,98.111191,0.011317071,98.657341,0.97561079,29.042429
11834282.365686,0.97797167,-16.495708,0.011210702,99.082344,0.011266164,98.481285,0.97569788,29.023661
11835380.290871,0.97823256,-16.517891,0.011114622,99.861877,0.01132418,98.3787,0.97579795,29.00038
11836478.216055,0.97790128,-16.495708,0.011046684,99.847473,0.011277925,98.119446,0.97606671,29.001308
11837576.14124,0.97781378,-16.513189,0.010989451,99.97403,0.011262111,98.339157,0.97600204,28.969885
11838674.066425,0.97787064,-16.548569,0.011354139,98.271469,0.011344625,97.949799,0.97580415,28.948921
11839771.991609,0.97764271,-16.537025,0.011260672,97.468758,0.011315774,97.996582,0.97584748,28.930141
11840869.916794,0.97772378,-16.530626,0.011386833,97.419106,0.011315516,98.140366,0.97566271,28.916655
11841967.841979,0.9775303,-16.534187,0.011092317,97.245499,0.011294165,97.931046,0.97537643,28.902578
11843065.767164,0.97768116,-16.545628,0.011309496,97.551849,0.011300649,97.684036,0.97584021,28.870562
11844163.692348,0.97745007,-16.564737,0.011020468,99.483047,0.011328471,97.814796,0.97588289,28.857218
11845261.617533,0.97789937,-16.584269,0.011374385,97.170784,0.011317988,97.924164,0.97560865,28.853739
11846359.542718,0.97796911,-16.569668,0.011354046,98.128159,0.011297749,97.837364,0.97580528,28.839842
11847457.467902,0.97757393,-16.57089,0.011175567,97.145271,0.011312879,97.385986,0.97567552,28.8104
11848555.393087,0.97762311,-16.529995,0.01118857,97.1856,0.011275166,97.23304,0.97572881,28.804626
11849653.318272,0.97770751,-16.582869,0.011163702,97.438156,0.011333971,97.256538,0.97563386,28.774801
11850751.243456,0.97768623,-16.586271,0.01145774,97.029526,0.011283097,97.543571,0.97576183,28.741631
11851849.168641,0.97780383,-16.602268,0.011288233,98.284767,0.0113401,97.321411,0.97570258,28.733412
11852947.093826,0.9774459,-16.616961,0.011419739,98.930756,0.011335718,97.122581,0.97586411,28.719847
11854045.01901,0.97718585,-16.59239,0.011473305,97.390411,0.011328799,97.42701,0.97565114,28.705168
11855142.944195,0.97726834,-16.644846,0.011273266,98.026459,0.011324563,97.357864,0.97597092,28.683985
11856240.86938,0.9774754,-16.637737,0.011131115,96.185165,0.011390059,97.637459,0.97563511,28.672934
11857338.794564,0.97784615,-16.630962,0.011142718,96.194,0.011344786,97.443039,0.97527909,28.655251
11858436.719749,0.97756273,-16.652643,0.011142498,96.448738,0.011282888,97.07695,0.97567445,28.635635
11859534.644934,0.9774822,-16.644783,0.01113991,97.892418,0.011351345,97.087105,0.97552896,28.628912
11860632.570118,0.97738874,-16.679209,0.0112039,96.417,0.011361041,97.029755,0.97538793,28.596708
11861730.495303,0.97736448,-16.684534,0.011207523,96.713509,0.011422526,96.906517,0.9755162,28.568193
11862828.420488,0.97718471,-16.684647,0.011194992,98.19352,0.01135385,96.863136,0.97533476,28.560345
11863926.345673,0.97743243,-16.714645,0.011301406,97.494789,0.011242924,97.144325,0.97521025,28.531904
11865024.270857,0.97731566,-16.73591,0.011324313,97.662994,0.011357736,96.889732,0.97535414,28.529598
11866122.196042,0.97733635,-16.72234,0.01136539,97.038223,0.011395874,97.253716,0.97548497,28.51693
11867220.121227,0.97745633,-16.724363,0.011482553,96.796074,0.011345215,97.066055,0.97527164,28.494856
11868318.046411,0.97762889,-16.719862,0.011254981,96.178329,0.011315219,96.889908,0.97526246,28.461296
11869415.971596,0.97707874,-16.750959,0.011227052,97.427986,0.011337365,96.74054,0.97553152,28.447674
11870513.896781,0.97714776,-16.753452,0.011269986,97.99482,0.011282831,96.536026,0.97532302,28.450523
11871611.821965,0.97729754,-16.769743,0.011368208,95.832787,0.01135729,96.694023,0.97542876,28.402325
11872709.74715,0.97737634,-16.763245,0.01138681,97.213684,0.011332475,96.406898,0.97535717,28.387474
11873807.672335,0.97745651,-16.773577,0.011345026,96.394356,0.011369691,96.818077,0.97542471,28.385738
11874905.597519,0.97724062,-16.75827,0.011189183,97.846634,0.011291884,96.307518,0.9755134,28.344141
11876003.522704,0.97700328,-16.790268,0.011311647,96.407455,0.011381486,96.267937,0.97528386,28.336
11877101.447889,0.9768815,-16.783525,0.011248658,95.812645,0.011324571,96.444611,0.97535986,28.326994
11878199.373073,0.97724915,-16.797194,0.01117138,97.151833,0.011287076,96.364227,0.97549057,28.309963
11879297.298258,0.97735256,-16.810623,0.011352275,96.2286,0.011296292,96.120293,0.97540176,28.27783
11880395.223443,0.97729802,-16.805489,0.011519064,97.094048,0.01133515,95.98201,0.97559488,28.250206
11881493.148627,0.97700751,-16.840277,0.01126632,96.018501,0.011388053,96.279198,0.9754861,28.238375
11882591.073812,0.97731239,-16.815985,0.010983286,95.896072,0.011337753,96.313202,0.9755432,28.236723
11883688.998997,0.97711873,-16.816988,0.011350165,96.881721,0.011375266,95.68055,0.9754616,28.203665
11884786.924181,0.97713065,-16.849337,0.011365045,96.662071,0.011391254,96.140732,0.97537607,28.193623
11885884.849366,0.97727287,-16.850254,0.010977408,95.199768,0.011259727,96.094513,0.97504675,28.1859
11886982.774551,0.97713405,-16.864676,0.011114159,95.686516,0.011371663,95.89946,0.97510564,28.159845
11888080.699736,0.97737706,-16.883656,0.01131817,96.885323,0.011399203,95.984314,0.9753502,28.144802
11889178.62492,0.97754765,-16.892136,0.01145256,96.197227,0.011428147,95.850433,0.97515261,28.12895
11890276.550105,0.97745943,-16.891211,0.011569176,95.692184,0.011434032,95.689407,0.975191,28.097687
11891374.47529,0.97726887,-16.908163,0.011291536,95.915283,0.011341268,95.606758,0.97507024,28.091869
11892472.400474,0.97694212,-16.933971,0.011302294,94.577499,0.011391782,95.337097,0.97468638,28.078405
11893570.325659,0.97711372,-16.930561,0.011404403,96.144035,0.011417743,95.504402,0.97470164,28.048119
11894668.250844,0.97712249,-16.928055,0.011090251,95.859619,0.011341118,95.931946,0.97453535,28.035278
11895766.176028,0.97729087,-16.96563,0.011503427,96.320168,0.011406704,95.5578,0.97478491,28.003584
11896864.101213,0.97718203,-16.966413,0.011361403,95.501785,0.011385094,95.589813,0.97476506,28.016401
11897962.026398,0.97676444,-16.971518,0.011245955,96.298828,0.011455687,95.090622,0.97477382,27.984285
11899059.951582,0.97681892,-16.959894,0.011151837,95.292831,0.011362192,95.302597,0.97469258,27.954805
11900157.876767,0.97690868,-16.989605,0.011097993,94.494873,0.011345109,95.029594,0.97476792,27.931074
11901255.801952,0.97713202,-16.991253,0.01166268,95.770088,0.011450069,95.38826,0.97464669,27.908642
11902353.727136,0.976946,-17.001299,0.011383541,94.900246,0.011356494,95.137383,0.97461605,27.92407
11903451.652321,0.97710967,-16.996653,0.011357026,95.622093,0.011381918,95.123398,0.9746455,27.88773
11904549.577506,0.97683364,-17.02352,0.01112631,94.982613,0.011445013,94.723091,0.974769,27.870979
11905647.50269,0.97709841,-17.019529,0.011497549,94.802559,0.01144532,94.910683,0.97468722,27.848648
11906745.427875,0.97694534,-17.024118,0.011524768,95.066734,0.011390346,95.099411,0.9746359,27.837395
11907843.35306,0.97692049,-17.057938,0.011292881,95.604958,0.011403456,94.995132,0.97484064,27.834463
11908941.278245,0.97682315,-17.05089,0.011319014,95.490234,0.01142071,94.922165,0.97464246,27.795082
11910039.203429,0.97685015,-17.057709,0.011362793,93.649055,0.011474766,94.541771,0.97460222,27.773716
11911137.128614,0.97676682,-17.068462,0.011101086,94.524994,0.011407628,94.878311,0.97476012,27.752352
11912235.053799,0.97706151,-17.073177,0.011340213,94.333145,0.01143636,94.870377,0.97461557,27.728359
11913332.978983,0.97672397,-17.096487,0.011245372,96.221497,0.011419102,94.915222,0.97462136,27.720947
11914430.904168,0.97678548,-17.093729,0.011391243,94.826225,0.011416934,94.896027,0.97445679,27.697466
11915528.829353,0.97687775,-17.122894,0.010980853,93.246803,0.01140858,94.96978,0.97463983,27.665955
11916626.754537,0.97689044,-17.109285,0.011243413,95.364075,0.011447444,94.692612,0.97488481,27.659985
11917724.679722,0.97667933,-17.139212,0.011328523,93.781822,0.011426468,94.477943,0.97456193,27.63558
11918822.604907,0.97683614,-17.109234,0.011482928,95.699974,0.011381307,94.772957,0.974576,27.625351
11919920.530091,0.97661161,-17.128637,0.011414181,93.951836,0.011396156,94.374702,0.97474664,27.592789
11921018.455276,0.97672904,-17.12715,0.011333212,94.848,0.011348241,94.04882,0.97478527,27.569515
11922116.380461,0.9768849,-17.127934,0.011374453,95.369629,0.011361192,94.563705,0.97459239,27.559147
11923214.305645,0.97631609,-17.143106,0.011220098,93.272583,0.011478245,93.853203,0.97460997,27.550465
11924312.23083,0.9763599,-17.158464,0.011260952,93.868233,0.011484457,93.993492,0.97459763,27.509947
11925410.156015,0.97686583,-17.188101,0.011551675,93.089188,0.01149864,94.145348,0.97472507,27.483601
11926508.081199,0.97665608,-17.192244,0.011237398,94.472466,0.01148464,94.02198,0.97463715,27.496052
11927606.006384,0.97653657,-17.170557,0.01151826,94.045807,0.011457951,94.063934,0.97426891,27.461098
11928703.931569,0.97643209,-17.200418,0.011428313,92.93515,0.011518303,93.871765,0.97448713,27.427977
11929801.856753,0.97621846,-17.198317,0.011401523,93.422035,0.011477202,94.021057,0.97462052,27.42956
11930899.781938,0.97662419,-17.205864,0.011572834,94.523804,0.011496722,94.14241,0.97438949,27.393833
11931997.707123,0.9765656,-17.205046,0.011362066,93.175659,0.011475629,93.847809,0.97467721,27.381382
11933095.632308,0.97643262,-17.203718,0.011114888,94.230225,0.011453618,93.676712,0.97475058,27.372829
11934193.557492,0.97659832,-17.222628,0.011255112,94.593323,0.011517434,94.043861,0.9747296,27.353924
11935291.482677,0.97666538,-17.241638,0.011388073,93.814011,0.011482086,93.728561,0.97458494,27.334307
11936389.407862,0.97655696,-17.247168,0.01125549,93.336586,0.011432211,93.666603,0.97460645,27.306379
11937487.333046,0.97645259,-17.249287,0.011383258,94.469841,0.011448219,93.913071,0.97456849,27.304136
11938585.258231,0.97673714,-17.257931,0.01153163,94.382912,0.011495857,94.080032,0.97452027,27.258492
11939683.183416,0.97615153,-17.272207,0.011223943,91.473564,0.011521888,93.326218,0.97444016,27.242313
11940781.1086,0.97624117,-17.26487,0.011335788,93.439415,0.011429176,93.563324,0.97465503,27.227098
11941879.033785,0.97628337,-17.279467,0.011584844,94.143112,0.011464164,93.678421,0.974626,27.219706
11942976.95897,0.97637159,-17.297821,0.011783875,93.103233,0.0116039,93.709969,0.97461551,27.187832
11944074.884154,0.9763121,-17.298792,0.011392411,93.169258,0.011525397,93.486122,0.97466397,27.186029
11945172.809339,0.97620958,-17.301456,0.011133836,94.471313,0.011489145,93.210083,0.97449696,27.168959
11946270.734524,0.97626501,-17.286144,0.011530117,94.808693,0.011494506,93.231407,0.97480732,27.155169
11947368.659708,0.97651619,-17.315878,0.011474125,93.435333,0.011509229,93.36834,0.97450769,27.117302
11948466.584893,0.97642553,-17.330118,0.01149444,93.431412,0.0115354,93.030029,0.97447377,27.089525
11949564.510078,0.9760493,-17.364513,0.011425725,92.607574,0.011509731,92.732903,0.97432631,27.091354
11950662.435262,0.97591263,-17.357952,0.011300202,93.30336,0.01148344,92.866646,0.97447425,27.065498
11951760.360447,0.97605371,-17.341066,0.011318946,93.964699,0.011466634,92.714905,0.97451758,27.050901
11952858.285632,0.97630787,-17.365423,0.011565449,93.120338,0.011519008,92.769218,0.97421914,27.012569
11953956.210816,0.97635341,-17.389532,0.011613554,92.207359,0.011555538,92.990662,0.97413707,26.999073
11955054.136001,0.97615212,-17.398142,0.011210837,92.148293,0.011529123,92.662872,0.9740569,26.995968
11956152.061186,0.97585928,-17.405018,0.011290031,92.634445,0.011529562,92.816437,0.97418767,26.961456
11957249.986371,0.97581172,-17.405334,0.011488277,93.799759,0.011603518,92.867157,0.97401595,26.955975
11958347.911555,0.97587436,-17.414078,0.01162205,93.712311,0.01157947,92.753853,0.97397619,26.909651
11959445.83674,0.97571057,-17.420792,0.011581312,93.180321,0.01154594,92.625122,0.97373778,26.889788
11960543.761925,0.97594267,-17.450697,0.011547374,91.978912,0.011515429,92.468956,0.97384065,26.868868
11961641.687109,0.97597045,-17.45923,0.011645501,93.761215,0.011556198,92.673599,0.97403497,26.841043
11962739.612294,0.97588956,-17.488192,0.011589363,93.35231,0.011559083,92.645782,0.97397059,26.817169
11963837.537479,0.97562301,-17.508852,0.011438318,93.370224,0.011573317,92.216232,0.97376931,26.828039
11964935.462663,0.97554737,-17.50897,0.011274933,93.135147,0.011578737,92.128227,0.97393906,26.79796
11966033.387848,0.97556192,-17.509319,0.011231606,93.397858,0.011536938,92.169243,0.97361273,26.766893
11967131.313033,0.97554672,-17.499512,0.011233862,93.557449,0.011541077,92.121101,0.97377616,26.732233
11968229.238217,0.97567838,-17.509056,0.011410704,92.876221,0.011481578,92.275108,0.973818,26.725601
11969327.163402,0.97559798,-17.515974,0.011213748,93.041084,0.011477685,92.477486,0.97397834,26.710276
11970425.088587,0.97564095,-17.518213,0.011538256,93.833427,0.011543162,92.302429,0.9740063,26.685825
11971523.013771,0.9757098,-17.512506,0.011580678,93.448074,0.011523709,92.321304,0.9740355,26.656818
